ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Instructio,Intro,ToolDang_1,ToolDang_2,ToolDang_3,ToolDang_4,ToolDang_5,ToolDang_6,GunDang_1,GunDang_2,GunDang_3,GunDang_4,GunDang_5,GunDang_6,SnakeDang_1,SnakeDang_2,SnakeDang_3,SnakeDang_4,SnakeDang_5,SnakeDang_6,RopeDang_1,RopeDang_2,RopeDang_3,RopeDang_4,RopeDang_5,RopeDang_6,BBallDang_1,BBallDang_2,BBallDang_3,BBallDang_4,BBallDang_5,BBallDang_6,OrDang_1,OrDang_2,OrDang_3,OrDang_4,OrDang_5,OrDang_6,WinDang_1,WinDang_2,WinDang_3,WinDang_4,WinDang_5,WinDang_6,DoorDang_1,DoorDang_2,DoorDang_3,DoorDang_4,DoorDang_5,DoorDang_6,Intro,STTools_1,STTools_2,STTools_3,STTools_4,STTools_5,STTools_6,ST Guns_1,ST Guns_2,ST Guns_3,ST Guns_4,ST Guns_5,ST Guns_6,ST Snakes_1,ST Snakes_2,ST Snakes_3,ST Snakes_4,ST Snakes_5,ST Snakes_6,STRope_1,STRope_2,STRope_3,STRope_4,STRope_5,STRope_6,STBBall_1,STBBall_2,STBBall_3,STBBall_4,STBBall_5,STBBall_6,STFruit_1,STFruit_2,STFruit_3,STFruit_4,STFruit_5,STFruit_6,STWindow_1,STWindow_2,STWindow_3,STWindow_4,STWindow_5,STWindow_6,STDoor_1,STDoor_2,STDoor_3,STDoor_4,STDoor_5,STDoor_6,Age,Gender,RaceD,RaceChoose_1,RaceChoose_2,RaceChoose_3,RaceChoose_4,RaceChoose_5,RaceChoose_6,RaceChoose_6_TEXT,Q85,LocationLatitude,LocationLongitude,LocationAccuracy
R_9BlcJaezk6ciVqB,Default Response Set,Anonymous,,,97.118.9.128,0,2/4/15 14:34,2/4/15 14:36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,0,White,,,,,1,,,,39.73970032,-104.7939987,-1
R_86TFGHUt99CqoQt,Default Response Set,Anonymous,,,50.109.247.69,0,2/4/15 14:35,2/4/15 14:37,1,1,1,3,3,3,3,3,3,7,7,7,7,7,7,5,5,5,6,4,5,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,white,,,,,1,,,,45.45730591,-122.7991943,-1
R_8jmjOrM57yMqJP7,Default Response Set,Anonymous,,,98.93.231.209,0,2/4/15 14:34,2/4/15 14:38,1,1,1,5,4,2,3,3,2,7,7,6,6,7,7,7,7,7,7,6,6,3,1,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,2,3,2,2,2,4,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,white,,,,,1,,,Everything worked fine for me. No problems here.,37.76620483,-87.25910187,-1
R_eD2NJhBk1Sypo8t,Default Response Set,Anonymous,,,173.14.234.46,0,2/4/15 14:35,2/4/15 14:39,1,1,1,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,4,1,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,3,3,4,3,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,White,,,,,1,,,Guns are not dangerous in the right hands.,41.8598938,-111.7059021,-1
R_7VzI4DXSJNqfUJT,Default Response Set,Anonymous,,,50.169.195.207,0,2/4/15 14:37,2/4/15 14:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,2,2,5,5,5,5,5,5,3,3,3,3,3,3,2,2,2,2,2,2,6,6,6,6,6,7,1,2,2,1,1,2,4,4,4,4,4,4,3,3,3,3,3,3,27,0,White ,,,,,1,,,Not that I can think of!,42.37309265,-71.0161972,-1
R_9tb8Nub19QNUIBf,Default Response Set,Anonymous,,,138.67.176.154,0,2/4/15 14:37,2/4/15 14:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,4,2,2,1,6,6,6,6,6,6,2,2,2,2,2,2,5,5,5,5,5,5,6,6,6,6,6,6,3,1,2,2,2,2,4,4,4,4,4,4,2,1,1,1,4,3,19,1,white,,,,,1,,,no,39.71459961,-105.2433014,-1
R_85JOp52aHoREogR,Default Response Set,Anonymous,,,73.197.250.122,0,2/4/15 14:37,2/4/15 14:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,0,Caucasian,,,,,1,,,,39.97569275,-74.94390106,-1
R_80PmWHqWpTlYUYd,Default Response Set,Anonymous,,,73.53.85.195,0,2/4/15 14:35,2/4/15 14:40,1,1,1,4,4,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,white,,,,,1,,,n/a,47.59150696,-117.3544998,-1
R_cSYX7eZpGAEvfZX,Default Response Set,Anonymous,,,99.100.145.12,0,2/4/15 14:39,2/4/15 14:43,1,1,1,7,1,5,1,5,6,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,4,1,4,2,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,Black,,,1,,,,,,29.83210754,-95.73459625,-1
R_af5XKJHILPXBKjb,Default Response Set,Anonymous,,,216.14.251.142,0,2/4/15 14:40,2/4/15 14:44,1,1,1,3,4,2,2,2,2,4,4,4,4,4,4,3,1,1,1,1,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,white,,,,,1,,,how many people thought the oranges were dangerous?,46.86459351,-114.5979996,-1
R_6msiqnHWmP5CWFL,Default Response Set,Anonymous,,,216.164.56.198,0,2/4/15 14:42,2/4/15 14:44,1,1,1,4,4,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,White,,,,,1,,,Thank you,39.0045929,-77.03690338,-1
R_cO2jL5nt9ei5SuN,Default Response Set,Anonymous,,,68.1.112.103,0,2/4/15 14:38,2/4/15 14:46,1,1,1,6,5,4,5,5,5,7,7,7,7,7,7,6,6,5,6,6,5,5,4,4,5,5,4,2,2,2,2,2,3,1,1,1,1,1,1,3,2,4,3,4,2,2,4,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,Black,,,1,,,,,,30.46209717,-87.2173996,-1
R_81EJ1neNBs6Jprv,Default Response Set,Anonymous,,,68.193.209.241,0,2/4/15 14:45,2/4/15 14:47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,White,,,,,1,,,,40.67050171,-74.10639954,-1
R_4JguYcv4Rn30tpP,Default Response Set,Anonymous,,,173.59.68.31,0,2/4/15 14:42,2/4/15 14:47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,1,white,,,,,1,,,,39.93589783,-75.15339661,-1
R_eR4uP9wDjcZ1TIV,Default Response Set,Anonymous,,,98.238.189.2,0,2/4/15 14:45,2/4/15 14:51,1,1,1,2,1,1,1,1,1,5,6,4,4,5,6,5,5,3,3,3,5,1,3,2,2,1,3,1,3,3,2,1,4,1,2,2,1,2,1,1,3,2,2,4,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,White,,,,,1,,,,38.47380066,-121.4434052,-1
R_cMUSIAhyC1eK49T,Default Response Set,Anonymous,,,50.154.228.62,0,2/4/15 14:51,2/4/15 14:53,1,1,1,3,3,3,3,3,3,7,7,7,7,7,7,5,5,5,5,5,5,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,Asian,,1,,,,,,,26.00900269,-80.40910339,-1
R_3mfNQULtDVJI5nf,Default Response Set,Anonymous,,,71.86.208.139,0,2/4/15 14:53,2/4/15 14:56,1,1,1,7,4,4,4,5,4,7,7,7,7,7,7,7,7,7,7,1,7,5,4,5,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,White,,,,,1,,,,43.7559967,-88.36660004,-1
R_3Jd1BxsCWxzR2q9,Default Response Set,Anonymous,,,72.175.125.199,0,2/4/15 14:53,2/4/15 14:57,1,1,1,6,4,4,4,5,6,5,5,5,5,5,5,6,7,5,6,6,7,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,white,,,,,1,,,none,38.47790527,-105.4555969,-1
R_9TxsKIrCis7rm5v,Default Response Set,Anonymous,,,50.151.47.38,0,2/4/15 14:58,2/4/15 15:01,1,1,1,4,3,4,4,4,4,7,7,7,7,7,7,6,6,6,6,6,6,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,3,2,3,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,White/Caucasian,,,,,1,,,,41.98959351,-87.7036972,-1
R_bw4vkQOCeaLQSfX,Default Response Set,Anonymous,,,96.244.120.156,0,2/4/15 15:04,2/4/15 15:08,1,1,1,4,5,6,6,6,5,6,4,5,6,5,6,7,5,7,6,6,5,5,6,7,7,6,6,6,7,6,4,6,6,4,7,6,6,5,7,6,7,3,6,6,6,7,5,5,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,White,,,,,1,,,Great survey.,39.26939392,-76.74469757,-1
R_bBkXLEeH7mOw3HL,Default Response Set,Anonymous,,,107.218.149.148,0,2/4/15 15:09,2/4/15 15:10,1,1,1,6,3,4,3,4,4,7,7,7,7,7,7,6,5,7,6,4,7,4,4,3,4,4,4,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,African American,,,1,,,,,no,41.6934967,-87.61450195,-1
R_1Z9wE5KFfRxQkN7,Default Response Set,Anonymous,,,64.56.1.198,0,2/4/15 15:07,2/4/15 15:11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,6,5,6,5,7,7,7,7,7,7,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,5,5,2,2,2,5,3,3,6,2,2,2,56,0,White,,,,,1,,,Interesting photos used in this study.,30.2973938,-90.86569977,-1
R_51ry5G66ihuQ6TX,Default Response Set,Anonymous,,,75.110.92.90,0,2/4/15 15:08,2/4/15 15:11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,7,2,7,5,4,3,1,3,1,4,5,1,1,1,1,1,1,7,7,7,7,7,7,5,5,2,4,3,4,5,4,2,4,2,4,5,1,1,3,2,3,40,1,White,,,,,1,,,Strange but good survey,35.19400024,-77.53769684,-1
R_5iEJ1I7n7K09Eqx,Default Response Set,Anonymous,,,12.164.171.2,0,2/4/15 15:09,2/4/15 15:13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,5,5,6,5,7,7,7,7,7,7,1,1,1,1,1,1,4,3,3,4,5,5,7,7,7,7,7,7,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,26,0,East Indian,,1,,,,,,,37.39610291,-121.9617004,-1
R_ePCXNTkaxdrRKN7,Default Response Set,Anonymous,,,74.127.116.175,0,2/4/15 15:06,2/4/15 15:14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,41,0,Caucasian,,,,,1,,,,32.55529785,-84.11060333,-1
R_6Mtj0AUGVWTgVyR,Default Response Set,Anonymous,,,76.79.192.50,0,2/4/15 15:12,2/4/15 15:18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,4,3,4,5,1,5,5,5,1,1,1,1,1,1,4,4,4,4,4,4,7,7,7,7,7,7,4,4,4,4,4,4,4,2,2,3,3,2,6,2,1,3,2,2,53,1,white,,,,1,,,,uncomfortable,33.95820618,-118.3614044,-1
R_1TumTbxeKVCsVuZ,Default Response Set,Anonymous,,,24.130.206.204,0,2/4/15 15:17,2/4/15 15:20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,4,5,4,6,3,2,3,5,6,5,5,3,5,5,3,6,1,2,4,2,1,7,7,7,7,7,7,3,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,19,0,Asian Indian,,1,,,,,,,37.33940125,-121.8950043,-1
R_8uXcUkhye7guXrv,Default Response Set,Anonymous,,,108.225.116.118,0,2/4/15 15:21,2/4/15 15:24,1,1,1,5,5,5,5,5,5,7,7,7,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,5,2,4,4,4,5,2,4,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,white,,,,,1,,,Thank you for the opportunity to partake in your study!,37.21899414,-93.31759644,-1
R_3RjboUHivwauudT,Default Response Set,Anonymous,,,24.22.65.217,0,2/4/15 15:24,2/4/15 15:27,1,1,1,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,White,,,,,1,,,Thank you.,45.48179626,-122.6004944,-1
R_9WGmtrm0XpCeXw9,Default Response Set,Anonymous,,,67.166.149.175,0,2/4/15 15:28,2/4/15 15:30,1,1,1,6,5,6,5,6,5,7,7,7,7,7,7,6,5,5,6,6,6,6,6,6,6,7,7,4,4,3,3,3,4,3,2,2,2,3,3,3,4,2,3,3,3,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,white,,,,,1,,,,38.67289734,-121.1488037,-1
R_72jjYheCTzaNztX,Default Response Set,Anonymous,,,147.31.215.251,0,2/4/15 15:26,2/4/15 15:30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,6,6,6,6,6,6,2,1,1,3,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,African American,,,1,,,,,,39.84890747,-75.38230133,-1
R_41O84m2EKZX2GJT,Default Response Set,Anonymous,,,24.245.27.194,0,2/4/15 15:30,2/4/15 15:33,1,1,1,5,4,4,4,3,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,3,3,3,3,3,3,1,1,1,1,1,1,5,4,5,5,6,3,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,white,,,,,1,,,,45.12339783,-93.49469757,-1
R_3ZV3bOh82sRmQEB,Default Response Set,Anonymous,,,67.85.106.200,0,2/4/15 15:34,2/4/15 15:37,1,1,1,7,5,4,3,5,4,5,6,6,6,6,6,6,7,7,6,7,7,5,4,4,5,4,3,2,2,2,2,2,2,2,3,3,3,2,3,2,5,6,4,5,2,1,6,3,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,Asian,,1,,,,,,Nope,40.64489746,-73.95829773,-1
R_1SWC1TWGwWnYeMt,Default Response Set,Anonymous,,,107.210.80.173,0,2/4/15 15:33,2/4/15 15:38,1,1,1,3,4,4,4,2,4,7,7,7,7,7,7,7,6,4,1,1,7,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,3,4,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1,white,,,,,1,,,thank you / I couldn't identify all the snakes,34.80380249,-86.61889648,-1
R_e8QFmenmN8WnOKN,Default Response Set,Anonymous,,,205.173.47.253,0,2/4/15 15:37,2/4/15 15:39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1,Caucasian,,,,,1,,,,37.35369873,-122.0307007,-1
R_8B88daZQM4WVknb,Default Response Set,Anonymous,,,68.180.100.26,0,2/4/15 15:39,2/4/15 15:41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,5,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,20,0,White,,,,1,1,,,,39.95970154,-75.19680023,-1
R_3ay6N8bNRBNLL7v,Default Response Set,Anonymous,,,96.255.72.81,0,2/4/15 15:36,2/4/15 15:41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,1,trational,,1,,,,,,,38.86050415,-77.26300049,-1
R_6EvLY9128X2RWOF,Default Response Set,Anonymous,,,174.49.134.109,0,2/4/15 15:37,2/4/15 15:43,1,1,1,6,6,6,6,4,6,7,7,7,7,7,7,7,7,4,,1,7,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,4,4,7,4,4,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,caucasion/white,,,,,1,,,"Sure, I think you might be curious about guns.  I see them as dangerous because of their potential to harm....like the other items in your list.  That doesn't affect my thoughts that law abiding citizens in the U.S. should have the right to own them.",40.00520325,-76.32460022,-1
R_29VQihrMFWloG8t,Default Response Set,Anonymous,,,108.226.229.59,0,2/4/15 15:44,2/4/15 15:47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1,White,,,,,1,,,,41.18510437,-80.74220276,-1
R_bE0gV8Asj003ERD,Default Response Set,Anonymous,,,73.13.216.229,0,2/4/15 15:45,2/4/15 15:49,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,4,4,1,5,4,4,2,2,2,2,2,2,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1,white,,,,,1,,,,40.26049805,-75.6155014,-1
R_3xZufdUIDsnj2cZ,Default Response Set,Anonymous,,,98.215.59.201,0,2/4/15 15:46,2/4/15 15:49,1,1,1,6,1,2,2,2,2,7,7,6,7,7,7,5,4,6,5,1,7,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,White,,,,,1,,,,40.52819824,-88.98010254,-1
